총곗수,시간,체결가,대비,추정NAV,기초지수,거래량(주),순간거래량(주)
30672,"09:31:24","4,800","-25","4,805.18","1,738.61","8,036,673","1,684"
30672,"09:31:24","4,800","-25","4,805.18","1,738.61","8,034,989","1"
30672,"09:31:24","4,800","-25","4,805.18","1,738.61","8,034,988","71"
30672,"09:31:20","4,800","-25","4,805.13","1,738.61","8,034,917","29"
30672,"09:31:20","4,800","-25","4,805.13","1,738.61","8,034,888","181"
30672,"09:31:18","4,800","-25","4,804.47","1,738.61","8,034,707","50"
30672,"09:31:07","4,800","-25","4,804.47","1,738.61","8,034,657","50"
30672,"09:31:02","4,800","-25","4,804.47","1,738.36","8,034,607","9"
30672,"09:30:48","4,800","-25","4,803.80","1,738.61","8,034,598","813"
30672,"09:30:44","4,800","-25","4,803.80","1,738.86","8,033,785","158"
30672,"09:30:40","4,800","-25","4,803.83","1,738.86","8,033,627","140"
30672,"09:30:37","4,800","-25","4,803.83","1,738.86","8,033,487","100"
30672,"09:30:37","4,800","-25","4,803.83","1,738.86","8,033,387","499"
30672,"09:30:37","4,800","-25","4,803.83","1,738.86","8,032,888","1"
30672,"09:30:33","4,800","-25","4,803.83","1,739.10","8,032,887","4,859"
30672,"09:30:33","4,800","-25","4,803.83","1,739.10","8,028,028","141"
30672,"09:30:33","4,800","-25","4,804.49","1,739.10","8,027,887","1,750"
30672,"09:30:33","4,800","-25","4,804.49","1,739.10","8,026,137","10,000"
30672,"09:30:33","4,800","-25","4,804.49","1,739.10","8,016,137","40"
30672,"09:30:33","4,800","-25","4,804.49","1,739.10","8,016,097","260"
30672,"09:30:33","4,800","-25","4,804.49","1,739.10","8,015,837","20"
30672,"09:30:33","4,800","-25","4,804.49","1,739.10","8,015,817","1,000"
30672,"09:30:33","4,800","-25","4,804.49","1,739.10","8,014,817","2,003"
30672,"09:30:33","4,800","-25","4,804.49","1,739.10","8,012,814","1"
30672,"09:30:33","4,800","-25","4,804.49","1,739.10","8,012,813","99"
30672,"09:30:28","4,800","-25","4,803.80","1,739.10","8,012,714","1"
30672,"09:30:28","4,795","-30","4,803.80","1,739.10","8,012,713","4,378"
30672,"09:30:24","4,800","-25","4,803.80","1,739.60","8,008,335","10"
30672,"09:30:21","4,800","-25","4,803.80","1,739.84","8,008,325","100"
30672,"09:30:18","4,800","-25","4,803.80","1,739.84","8,008,225","10"
30672,"09:30:17","4,800","-25","4,803.80","1,739.84","8,008,215","5"
30672,"09:30:15","4,800","-25","4,804.49","1,739.35","8,008,210","2"
30672,"09:30:11","4,800","-25","4,804.49","1,739.35","8,008,208","208"
30672,"09:30:06","4,800","-25","4,802.42","1,739.35","8,008,000","4"
30672,"09:30:06","4,800","-25","4,802.42","1,739.35","8,007,996","1"
30672,"09:30:05","4,800","-25","4,802.42","1,738.61","8,007,995","1"
30672,"09:30:05","4,800","-25","4,802.42","1,738.61","8,007,994","50"
30672,"09:30:05","4,800","-25","4,802.42","1,738.61","8,007,944","100"
